weight,source,target
5,3500,3600
1,3410,2020
1,3630,6260
1,3600,4320
1,3610,3150
1,3410,3530
1,3320,350
1,3650,3620
1,3530,3240
1,3650,1650
1,3650,3520
1,3640,4110
1,4110,3640
1,3650,1760
1,3410,3050
1,3300,4700
1,4700,3530
1,3600,3620
1,3640,5000
1,3500,3410
2,3600,2540
15,3600,4610
1,3510,3500
1,3300,3650
1,3600,2630
1,3600,4050
1,3320,3530
1,3530,3300
1,3300,3320
1,3500,350
1,3650,3130
1,3320,3220
2,3130,3650
1,3650,3500
1,3650,9830
2,3650,5000
1,3300,5910
1,3650,3400
14,3600,4720
50,4720,3600
1,3300,9810
1,3600,9140
1,3600,5010
2,5010,2540
4,1110,1020
1,1020,710
2,1040,1530
1,1040,160
1,1040,5000
1,5000,1040
9,1040,1020
3,1040,1000
3,1040,110
1,110,1040
1,1110,2200
2,2200,1110
3,1110,1000
1,1000,10
6,1110,1100
1,1040,2200
1,2200,710
2,1110,2630
2,1110,110
3,1110,4020
2,1110,2820
1,1040,9820
1,1110,1810
1,1110,1530
1,1040,1550
1,1110,840
1,1110,800
2,1040,4850
4,1040,7010
1,1110,2040
1,1110,620
1,1110,2340
1,2340,1110
1,1110,710
1,1110,4760
3,4760,1110
2,1000,1020
1,1020,1000
1,7200,6750
1,6750,8100
2,7200,4250
5,4250,6230
2,6230,4250
1,7340,1740
1,7000,6700
1,7010,2060
2,2060,2540
1,7000,1920
1,7350,2320
1,7000,4710
1,7140,7000
1,7420,2900
1,7140,9820
3,7000,6200
2,7210,6050
1,6050,7310
1,7560,6330
1,7420,1040
1,7420,1550
1,7000,3730
2,7210,7200
2,7140,9810
1,7330,6920
1,7220,7210
1,7260,6260
3,7340,7330
1,7000,7330
2,7000,430
1,7330,7360
1,7330,1760
1,1760,1460
1,7000,410
1,410,4210
2,7340,4250
6,7340,4220
1,7560,6320
2,7200,6330
1,7310,210
1,7200,4700
1,7330,7340
3,7200,7210
1,7020,430
4,7200,6260
1,7260,9830
1,7220,6230
1,7200,6730
1,7220,7310
1,7000,7220
