weight,source,target
18,2340,'Student'
5,2300,4600
1,2150,430
1,2140,430
17,430,'Unemployed'
49,2540,'Unemployed'
16,4600,2540
63,4600,'Student'
7,2340,2310
2,2340,2320
1,2150,6050
1,2440,'Student'
17,'Unemployed',4130
20,'Student',2540
36,'Student',2340
3,2340,4430
2,2540,1010
1,1010,2540
5,2540,2200
3,2340,2540
1,2440,4110
10,4110,4600
22,4600,4720
1,4720,3240
4,2340,2750
1,2150,4960
6,4960,'Unemployed'
1,2150,4700
1,2140,420
43,'Unemployed',2540
4,2340,2200
9,'Unemployed',710
1,2440,8960
1,2340,5600
25,'Unemployed',2340
2,2540,2340
1,2300,2320
13,2540,'Student'
2,2300,2340
1,2100,2150
1,2340,230
1,2300,3030
1,2340,5000
3,'Unemployed',230
1,2340,4030
11,4030,4720
246,'Student',4720
1,2340,2300
1,'Unemployed',3150
1,2150,120
6,120,'Unemployed'
6,'Unemployed',120
60,'Student',4600
210,4600,'Unemployed'
8,'Unemployed',2330
2,2330,'Unemployed'
4,'Unemployed',3240
1,2340,4130
1,4130,2000
1,2000,4130
2,2340,2000
115,'Unemployed',4600
32,'Unemployed',2310
1,2340,850
2,850,'Unemployed'
447,'Unemployed',4720
1,4720,150
2,2540,2320
2,2300,2330
6,2540,2300
12,2300,'Student'
19,'Student',2300
6,2140,'Unemployed'
1,2150,1740
9,1540,'Unemployed'
1,1560,1360
1,1540,1460
1,1920,1610
1,1900,1600
1,1560,4430
1,4430,1560
2,1560,'Student'
1,1540,1560
1,1540,5930
1,1540,220
1,1550,1000
1,1550,1960
1,1550,1460
1,1460,'Unemployed'
3,1540,'Student'
2,2340,1540
5,1550,'Unemployed'
5,'Unemployed',1550
1,1550,7020
1,4030,4230
54,4230,'Unemployed'
1,1550,3130
5,'Unemployed',1540
1,1920,'Unemployed'
1,1920,1650
1,1650,1760
1,1900,6240
1,3650,430
157,3600,'Unemployed'
151,'Unemployed',3600
3,3600,6050
1,6050,210
46,3650,'Unemployed'
9,3410,'Student'
20,3600,'Student'
29,'Student',3600
15,3410,'Unemployed'
1,3320,3650
1,3320,2200
1,3610,2000
3,'Unemployed',1610
3,3600,3410
5,3300,'Unemployed'
22,3130,'Unemployed'
6,3130,'Student'
54,'Student',5620
52,5620,'Student'
11,'Student',2320
1,2320,4250
1,4250,2320
3,3600,4230
4,4230,3600
1,3410,5810
1,5810,5300
10,3640,'Unemployed'
10,'Unemployed',3640
9,'Unemployed',2200
14,3600,3130
7,3650,3410
1,3130,2200
1,2200,3130
1,3600,5600
1,3600,2900
6,3500,'Unemployed'
11,'Unemployed',3500
22,'Unemployed',3130
8,3650,3600
1,3310,6520
1,3400,3410
9,3600,3650
2,3130,3600
7,3600,3500
1,3650,2540
5,3130,3500
43,'Unemployed',3650
1,3130,4600
1,3650,2200
7,'Unemployed',1960
5,1960,'Unemployed'
1,3410,210
3,3650,3110
4,'Unemployed',4640
8,3500,3130
3,3650,4760
1,3530,3600
5,3510,'Unemployed'
4,'Unemployed',3510
1,3300,230
1,3410,2200
6,3650,'Student'
1,3320,3600
2,3650,3050
38,'Unemployed',4510
43,4510,'Unemployed'
3,3600,4510
2,3510,5930
1,3410,3600
1,3530,3500
3,'Unemployed',5320
1,3650,2600
1,2600,4720
2,3600,3530
1,3510,3030
2,3310,3640
1,3640,3310
1,3410,6200
1,3310,'Unemployed'
1,3650,3300
1,3410,3110
1,3110,3410
2,3130,350
2,3650,4720
1,3650,5600
1,3600,2340
1,3300,1760
1,1760,3300
2,3400,3650
1,3600,3540
1,3540,3600
2,3600,2200
2,2200,3600
1,2200,1720
1,3640,3010
2,3130,3260
1,3600,9830
43,'Unemployed',5860
1,3650,5620
5,3500,3600
5,3320,'Unemployed'
1,3410,2020
2,3630,'Unemployed'
3,'Unemployed',3630
1,3600,4320
1,3610,3150
1,3410,3530
1,3320,350
1,3650,3620
1,3530,3240
1,3650,1650
1,3650,3520
1,3640,4110
1,4110,3640
1,3650,1760
1,3410,3050
72,'Unemployed',4700
1,4700,3530
2,'Unemployed',3620
1,3640,5000
1,3500,3410
1,3530,'Student'
2,3600,2540
13,3600,4610
1,3510,3500
1,3300,3650
2,'Unemployed',3530
1,3530,3300
1,3300,3320
3,3620,'Unemployed'
1,3500,350
1,3650,3130
1,3320,3220
1,3640,'Student'
17,'Unemployed',3410
1,3650,9830
2,3650,5000
46,5000,'Unemployed'
1,3300,5910
1,3650,3400
773,4720,'Unemployed'
1,3300,9810
1,3600,9140
1,3600,5010
2,5010,2540
4,'Unemployed',3300
4,1110,1020
1,1020,710
3,1040,'Student'
4,'Student',1530
9,1040,'Unemployed'
5,'Unemployed',160
1,1040,5000
1,5000,1040
8,1040,1020
9,1110,'Unemployed'
3,1040,1000
3,1040,110
1,110,1040
1,1110,2200
1,2200,1110
3,1110,1000
1,1000,10
6,1110,1100
1,1040,2200
1,2200,710
1,1110,2630
2,1110,110
6,'Unemployed',1110
1,1110,2820
1,1040,9820
1,1110,1810
10,1110,'Student'
1,1110,1530
1,1040,1550
1,1110,840
1,1110,800
2,1040,4850
4,1040,7010
12,'Student',1110
1,1110,2040
1,1110,620
1,1110,2340
1,2340,1110
1,1110,710
8,'Student',1040
5,'Student',1020
3,1020,'Student'
1,1110,4760
2,4760,1110
2,1000,1020
1,1020,1000
37,7200,'Unemployed'
1,'Unemployed',6750
1,6750,'Unemployed'
8,'Unemployed',8100
1,7200,4250
2,6230,4250
2,4250,6230
1,7340,1740
1,7000,6700
28,'Unemployed',7200
6,7010,'Student'
6,'Student',2060
3,2060,'Student'
11,7000,'Unemployed'
1,7000,1920
1,7350,2320
4,'Unemployed',7000
1,7000,4710
1,7140,7000
1,7420,2900
1,7140,9820
2,7000,6200
8,7210,'Unemployed'
38,'Unemployed',6050
1,6050,7310
1,7560,'Unemployed'
3,7550,'Unemployed'
1,7420,1040
1,7420,1550
1,7000,3730
2,7210,7200
2,7140,9810
1,7330,6920
1,7220,7210
6,7010,'Unemployed'
1,7260,6260
3,7340,7330
7,7150,'Unemployed'
1,7000,7330
2,7000,430
1,7330,7360
1,7330,1760
1,1760,'Student'
1,'Student',1460
1,7000,410
1,410,4210
9,7340,'Unemployed'
4,7340,4220
1,7560,6320
