Cluster,Cluster_clean,age18_24_est,age18_24_p,age18_24_lCI,age18_24_uCI,age18_24_err,age25_29_est,age25_29_p,age25_29_lCI,age25_29_uCI,age25_29_err,age30_34_est,age30_34_p,age30_34_lCI,age30_34_uCI,age30_34_err,woman_est,woman_p,woman_lCI,woman_uCI,woman_err,men_est,men_p,men_lCI,men_uCI,men_err,re_whiteNH_est,re_whiteNH_p,re_whiteNH_lCI,re_whiteNH_uCI,re_whiteNH_err,re_blackNH_est,re_blackNH_p,re_blackNH_lCI,re_blackNH_uCI,re_blackNH_err,re_otherNH_est,re_otherNH_p,re_otherNH_lCI,re_otherNH_uCI,re_otherNH_err,re_hispanic_est,re_hispanic_p,re_hispanic_lCI,re_hispanic_uCI,re_hispanic_err,educ_nodeg_est,educ_nodeg_p,educ_nodeg_lCI,educ_nodeg_uCI,educ_nodeg_err,educHS_0_est,educHS_0_p,educHS_0_lCI,educHS_0_uCI,educHS_0_err,educAA_0_est,educAA_0_p,educAA_0_lCI,educAA_0_uCI,educAA_0_err,educBA_0_est,educBA_0_p,educBA_0_lCI,educBA_0_uCI,educBA_0_err,pared_nocoll_est,pared_nocoll_p,pared_nocoll_lCI,pared_nocoll_uCI,pared_nocoll_err,pared_somecoll_est,pared_somecoll_p,pared_somecoll_lCI,pared_somecoll_uCI,pared_somecoll_err,pared_ba_est,pared_ba_p,pared_ba_lCI,pared_ba_uCI,pared_ba_err,jobch0_2_est,jobch0_2_p,jobch0_2_lCI,jobch0_2_uCI,jobch0_2_err,jobch3_4_est,jobch3_4_p,jobch3_4_lCI,jobch3_4_uCI,jobch3_4_err,jobch5_6_est,jobch5_6_p,jobch5_6_lCI,jobch5_6_uCI,jobch5_6_err,jobch7_up_est,jobch7_up_p,jobch7_up_lCI,jobch7_up_uCI,jobch7_up_err,changecluster_no_est,changecluster_no_p,changecluster_no_lCI,changecluster_no_uCI,changecluster_no_err,changecluster_yes_est,changecluster_yes_p,changecluster_yes_lCI,changecluster_yes_uCI,changecluster_yes_err
ECE,Early Childhood Education,6.001251322418724,.198918345966152,-3.159316909237676,15.16181955407512,9.1605682,1.002684619580309,.7959711301813952,-6.604279299492553,8.609648538653172,7.6069641,0,,0,0,0,-6.754448511327513,.0074160544231001,-11.69498401834886,-1.813913004306163,4.9405355,0,,0,0,0,0,,0,0,0,-3.798259549450393,.0005139241003307,-5.937581938901038,-1.658937159999748,2.1393223,.1496739291878591,.9619938270975477,-6.011880164090065,6.311228022465783,6.1615539,-.3029407640398462,.8809216467947135,-4.269954016381544,3.664072488301852,3.9670134,0,,0,0,0,2.827972594922359,.0036890552803272,.9210220227753405,4.734923167069377,1.9069506,1.488703465345077,.5736146948105381,-3.700436613973425,6.677843544663578,5.1891398,8.335596980252131,.0000328707807519,4.413168185247258,12.258025775257,3.9224288,0,,0,0,0,1.047421158747948,.5603124423844077,-2.480398970358487,4.575241287854383,3.5278201,1.516922254416508,.3695089123988922,-1.798390908998324,4.832235417831341,3.3153131,0,,0,0,0,4.292945529431856,.0681133885098452,-.3198881740947987,8.905779232958512,4.6128335,2.413618134362405,.3156089720332343,-2.303384513772698,7.130620782497507,4.7170029,-1.230325618249119,.5675271781463169,-5.451613053279521,2.990961816781283,4.2212873,0,,0,0,0,1.413696096914407,.3767847722951712,-1.723422686364707,4.550814880193521,3.1371188
All other,All other,-1.883983135448754,.7193301323290766,-12.17817595564004,8.410209684742533,10.294193,1.365372406159262,.7716912332624433,-7.87428901853692,10.60503383085544,9.2396612,0,,0,0,0,-.6841627864582982,.7576616440017937,-5.038028459288099,3.669702886371502,4.3538656,0,,0,0,0,0,,0,0,0,-2.494265205650852,.4508704761976282,-8.988623610017481,4.000093198715777,6.4943585,-6.046587786320253,.1477057199759496,-14.239844112623,2.146668539982497,8.1932564,-1.372590053780181,.5889333376613339,-6.359632003422496,3.614451895862132,4.987042,0,,0,0,0,3.537111779769727,.0704930837826269,-.2968225076042446,7.371046067143699,3.8339343,8.979103831034411,.2597334806571276,-6.655835282543771,24.61404294461259,15.634939,7.278106055424908,.0134194437281287,1.514994934003354,13.04121717684646,5.7631111,0,,0,0,0,-.7950667858435333,.7612180899202042,-5.932486309229496,4.342352737542429,5.1374197,2.959074147233994,.2626612623403189,-2.225208484498067,8.143356778966055,5.1842828,0,,0,0,0,5.031691010401982,.0659623065193794,-.3331153538143274,10.39649737461829,5.3648062,-2.382385267330128,.4093528991446349,-8.050797534828929,3.286027000168673,5.6684122,-.7429119897735927,.8046570492210783,-6.641153896138054,5.155329916590869,5.898242,0,,0,0,0,-8.425370378644896,.0063193811911757,-14.46190597763996,-2.388834779649831,6.0365357
Construction,Construction,-.0777169423884742,.9717970865271552,-4.389263536664151,4.233829651887202,4.3115468,-1.839872583616249,.3845669800003508,-5.989528934367046,2.309783767134549,4.1496563,0,,0,0,0,-6.06960111271628,.0051085950089968,-10.31488836191028,-1.824313863522284,4.2452874,0,,0,0,0,0,,0,0,0,-7.591144279566935,1.20735537724e-16,-9.36569361000088,-5.816594949132988,1.7745494,1.641706492755037,.6282834156851886,-5.008932137455572,8.292345122965646,6.6506386,-2.688734859235814,.0233894535376069,-5.012734636773727,-.3647350816979005,2.3239999,0,,0,0,0,3.158741423549893,.0003937470925745,1.414822620031415,4.902660227068371,1.7439188,7.287011397936173,.0365096493750648,.4580069652536114,14.11601583061874,6.8290043,7.401291416338479,.0235821130406053,.9951099887590811,13.80747284391788,6.4061813,0,,0,0,0,1.841982341574105,.0909302595409032,-.2939915582186143,3.977956241366825,2.1359739,5.518725477830369,.0002091589868765,2.606843521667115,8.430607433993623,2.9118819,0,,0,0,0,-1.03617409643881,.4436579719371799,-3.688949212160228,1.616601019282608,2.652775,-2.313907505548769,.0995680871792852,-5.068171729170745,.4403567180732058,2.7542641,-4.960594657604974,.000280441003005,-7.632273381295121,-2.288915933914825,2.6716788,0,,0,0,0,-1.812309318138331,.0551591705443232,-3.664694096238044,.0400754599613824,1.8523848
Educ/Legal/Social Services,"Education, Legal, Social Services",6.121399782378027,.2875653408778481,-5.170347464420066,17.41314702917612,11.291747,2.095958736140561,.6648207403490416,-7.397003741196331,11.58892121347745,9.4929628,0,,0,0,0,-7.515257630572872,.0041892927065804,-12.6516615084725,-2.378853752673241,5.136404,0,,0,0,0,0,,0,0,0,-4.268520648351848,.0131180715045187,-7.638633729735909,-.8984075669677871,3.3701131,3.447835815948781,.4008537645411475,-4.604409951845595,11.50008158374316,8.0522461,-2.134017886690271,.417669751963752,-7.300178818475052,3.032143045094511,5.1661611,0,,0,0,0,5.753275792271955,.0001191339434665,2.833454289081096,8.673097295462814,2.9198215,8.156416383809292,.0108858508441692,1.883787113040377,14.42904565457821,6.2726293,10.49238548958301,.0000126574376869,5.805917227075545,15.17885375209048,4.6864681,0,,0,0,0,-1.082676934537466,.6353372789800282,-5.562707898117028,3.397354029042096,4.480031,.1725768617903544,.9401024710380816,-4.334616276545249,4.679770000125957,4.5071931,0,,0,0,0,2.501631026335405,.3878134724997508,-3.181795721223976,8.185057773894785,5.6834269,3.009057670762202,.329994547280495,-3.051058407625147,9.069173749149551,6.0601163,-3.858021946566187,.149863722420148,-9.112157115399986,1.396113222267613,5.2541351,0,,0,0,0,-.071391198152239,.9728463471664466,-4.187380488061367,4.044598091756889,4.1159892
Engineer/Sci/Arch,"Engineering, Science, and Architecture",6.160943823205354,.3932963343974488,-8.074748817823183,20.39663646423389,14.235693,1.268013663464405,.8461292711316679,-11.63867867845061,14.17470600537942,12.906693,0,,0,0,0,2.025709229878825,.6162176911759719,-5.954003080484249,10.0054215402419,7.9797125,0,,0,0,0,0,,0,0,0,-7.663282912548445,.140022572266617,-17.87602636562576,2.549460540528871,10.212744,2.05618458368166,.7531665409818165,-10.85776477393153,14.97013394129485,12.913949,-5.040871959955193,.235684151319728,-13.41406283532989,3.332318915419509,8.3731909,0,,0,0,0,-6.814369102319993,.3887149274519959,-22.4078998479044,8.779161643264413,15.593531,-6.98531555120285,.3744323959168951,-22.49613676322941,8.525505660823715,15.510821,10.36823307797514,.2812462045729178,-8.594806823265593,29.33127297921587,18.963039,0,,0,0,0,-6.388669638829724,.1152542135300475,-14.3610082239107,1.58366894625125,7.9723387,-2.689988286546818,.4438877003446807,-9.622059326478743,4.242082753385107,6.9320712,0,,0,0,0,4.876162611973804,.2018307344086839,-2.645645069975286,12.39797029392289,7.5218077,6.076633614011092,.1878432720609006,-3.005819826788411,15.15908705481059,9.0824537,3.475719133822842,.6618309409769478,-12.21594511214416,19.16738337978985,15.691665,0,,0,0,0,-4.190939244243641,.2583300364332579,-11.49604146529342,3.114162976806141,7.3051023
Healthcare,Healthcare,-2.380867779719633,.301608015973415,-6.901342600547112,2.139607041107846,4.5204749,-.9313384922769045,.7244714544908433,-6.114660659523099,4.251983674969289,5.183322,0,,0,0,0,-1.024672994182762,.6160623287034837,-5.033341280071296,2.983995291705773,4.0086684,0,,0,0,0,0,,0,0,0,-3.585683325998101,.0131127577746012,-6.417070454330887,-.7542961976653153,2.831387,3.807776427370346,.3420046239462322,-4.052068748299579,11.66762160304027,7.8598452,-3.485272652684509,.0135371254415461,-6.250088095120922,-.7204572102480959,2.7648153,0,,0,0,0,3.786711347679983,.002021482177038,1.385913977182519,6.187508718177447,2.4007974,1.979608617809276,.323240612796422,-1.950970315963168,5.91018755158172,3.9305789,9.534674578904832,.0001138794149023,4.705194865228613,14.36415429258105,4.8294797,0,,0,0,0,1.515828446246393,.3055540453714499,-1.385820175774846,4.417477068267632,2.9016485,1.431650073333748,.3912169562842616,-1.84347606161782,4.706776208285316,3.2751262,0,,0,0,0,2.622928798328081,.1918417153523956,-1.318042154874642,6.563899751530803,3.9409709,2.591452505754201,.2199063233583091,-1.551176301773904,6.734081313282307,4.1426287,.6152820238691993,.7598826833067672,-3.334026483064048,4.564590530802446,3.9493084,0,,0,0,0,-3.9404446308899,.0111534775318016,-6.981666957971541,-.899222303808259,3.0412223
IT,Information Technology,-5.290056146878841,.4814337264978458,-20.08557485346092,9.505462559703236,14.795519,-8.269817335573368,.2916860246990763,-23.69935928396894,7.159724612822204,15.429542,0,,0,0,0,-10.40156424097975,.0011749699933921,-16.6266327221616,-4.176495759797892,6.2250686,0,,0,0,0,0,,0,0,0,-7.66655896480488,.222654832826063,-20.02803905116085,4.694921121551092,12.36148,9.967810447687794,.0881087650471511,-1.502175712117808,21.4377966074934,11.469986,-1.176254112205189,.7610303509456642,-8.795747756948446,6.443239532538068,7.6194935,0,,0,0,0,.1376623815888711,.9782285491200642,-9.801505691236368,10.07683045441411,9.939168,1.926858740016573,.8245761247845734,-15.19944280332054,19.05316028335369,17.126301,7.482678732220974,.2073642944461835,-4.185025370723497,19.15038283516544,11.667704,0,,0,0,0,-4.100427188905673,.3110365601250477,-12.06430030676485,3.863445928953499,7.9638729,-.1982516920271654,.954224881223343,-7.003178986577417,6.606675602523087,6.8049273,0,,0,0,0,3.620263046374888,.4006003385306255,-4.857728057478081,12.09825415022786,8.4779911,-2.212510335383587,.6625306047550703,-12.19874690414951,7.773726233382331,9.9862366,-1.913698760840479,.7630930849744335,-14.42152101219105,10.5941234905101,12.507822,0,,0,0,0,-9.674280170925714,.0035210464159797,-16.13026689164015,-3.218293450211277,6.4559865
Maintance/Repair,Maintenance and Repair,-.2450791505039691,.917320391160425,-4.878751844651449,4.388593543643511,4.6336727,-1.754659153214233,.3803097275248023,-5.679012829595102,2.169694523166636,3.9243536,0,,0,0,0,-3.146049126577299,.1894775633258776,-7.849048308687323,1.556950055532724,4.7029991,0,,0,0,0,0,,0,0,0,-4.653105298851309,.0009362922445168,-7.402030734446398,-1.90417986325622,2.7489254,6.599315260872152,.1638857975241914,-2.698321174386661,15.89695169613097,9.297636,-.7292717607228422,.722826213434467,-4.764667479425807,3.306123957980123,4.0353956,0,,0,0,0,4.727714740443425,.0011704073138759,1.880067290181188,7.575362190705663,2.8476474,9.969196103982009,.0195298148533895,1.607072743533248,18.33131946443077,8.3621235,6.975968225976936,.0418622203737176,.2575868795562135,13.69434957239766,6.7183814,0,,0,0,0,5.654208594586244,.0121028530204825,1.241489769228069,10.06692741994442,4.4127188,4.926123444839227,.0157167757262412,.9318059368822742,8.920440952796181,3.9943175,0,,0,0,0,.9038737931683822,.6911395001703584,-3.561035805003614,5.368783391340379,4.4649096,.2198988501495931,.9226299058973026,-4.224004329813178,4.663802030112364,4.443903,-2.409059425806361,.310576014075404,-7.070269671046781,2.252150819434059,4.6612101,0,,0,0,0,.4646697628291248,.8014446154923573,-3.161874558538203,4.091214084196452,3.6265442
Mgmt/Biz/Financial,"Management, Business, Finance",2.851973591328528,.5146699395004133,-5.752229978513439,11.4561771611705,8.6042032,-2.425504090636202,.5797025088553658,-11.03570864838028,6.184700467107872,8.6102047,0,,0,0,0,-3.788360867027008,.195947833845319,-9.540864407009373,1.964142672955355,5.7525034,0,,0,0,0,0,,0,0,0,1.877817990609001,.6139574052703476,-5.441145152896465,9.196781134114467,7.3189631,2.756642036099503,.6455693368532398,-9.027766347436348,14.54105041963535,11.784409,-1.534774673930355,.6355049678882407,-7.901017694199924,4.831468346339214,6.3662429,0,,0,0,0,9.473805521411757,.0015846001104499,3.62667585264688,15.32093519017663,5.8471298,12.6908520321908,.018419628668104,2.153800117089165,23.22790394729244,10.537052,20.82642719037637,3.12628999880e-06,12.20704882159426,29.44580555915849,8.6193781,0,,0,0,0,-2.678917045000642,.3566305714600847,-8.389699861430904,3.03186577142962,5.710783,4.687081129113893,.1816583725347843,-2.203056977193388,11.57721923542117,6.8901381,0,,0,0,0,2.944394774805012,.3024254158984365,-2.665160598285893,8.553950147895918,5.6095552,3.500118806685822,.4213136827257447,-5.054496087716977,12.05473370108862,8.554615,1.838314030370536,.6791888254479926,-6.901475270414639,10.57810333115571,8.739789,0,,0,0,0,-3.198708311684873,.2785821280166569,-8.998265666979556,2.600849043609811,5.7995572
Office & Admin Sppt,Office and Administrative Support,4.851345420041086,.0061746675444527,1.379846898043315,8.322843942038856,3.4714985,.468263169993125,.7681602359480297,-2.645907881651802,3.582434221638052,3.114171,0,,0,0,0,-3.079602148181311,.0003699810242411,-4.773816486608668,-1.385387809753953,1.6942143,0,,0,0,0,0,,0,0,0,-2.554089631927995,.0002292494948655,-3.9119164487878,-1.19626281506819,1.3578268,3.922430647860903,.0599066399376622,-.1636997569421665,8.008561052663971,4.0861306,-1.316706308874887,.0577997698836685,-2.676984144317174,.043571526567399,1.3602779,0,,0,0,0,2.308711814677021,.0000220968230017,1.243123455376283,3.374300173977759,1.0655884,3.802114868119832,.0129371272565711,.8043704797268085,6.799859256512855,2.9977443,11.2238518405979,1.45719110483e-15,8.478032335075065,13.96967134612073,2.7458196,0,,0,0,0,-.285862536306519,.6868799547598721,-1.676147561183701,1.104422488570663,1.390285,3.441752236060531,.0000340463487393,1.815553901549808,5.067950570571255,1.6261983,0,,0,0,0,.9776525064226056,.2980048706645513,-.8638646526090048,2.819169665454216,1.8415172,-1.565509081039593,.1457819990630325,-3.67516095061095,.5441427885317649,2.1096518,-1.729323975719899,.0794306792213948,-3.661811266120174,.2031633146803764,1.9324872,0,,0,0,0,4.127010252431893,1.17531580801e-06,2.464698765657148,5.789321739206637,1.6623114
